"id";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"F8";"F9";"F10";"FDR1";"FDR2";"FDR3";"FDR4";"FDR5";"FDR6";"FDR7";"FDR8";"FDR9";"FDR10"
"104";104;"TOT(A)";"EVE(H)";"LEI(A)";"ARS(H)";"STK(A)";"MCI(H)";"CRY(A)";"WAT(H)";"BOU(A)";"MUN(H)";"5";"3";"3";"4";"2";"4";"2";"2";"2";"4"
"105";105;"TOT(A)";"EVE(H)";"LEI(A)";"ARS(H)";"STK(A)";"MCI(H)";"CRY(A)";"WAT(H)";"BOU(A)";"MUN(H)";"5";"3";"3";"4";"2";"4";"2";"2";"2";"4"
"106";106;"TOT(A)";"EVE(H)";"LEI(A)";"ARS(H)";"STK(A)";"MCI(H)";"CRY(A)";"WAT(H)";"BOU(A)";"MUN(H)";"5";"3";"3";"4";"2";"4";"2";"2";"2";"4"
"107";107;"LEI(H)";"STK(A)";"EVE(H)";"SOU(A)";"CRY(H)";"LIV(A)";"HUD(A)";"TOT(H)";"CHE(A)";"NEW(H)";"2";"2";"3";"3";"2";"4";"2";"4";"5";"2"
"108";108;"SWA(H)";"BUR(A)";"SOU(H)";"MCI(A)";"MUN(A)";"CHE(H)";"NEW(A)";"WHU(H)";"TOT(A)";"EVE(H)";"2";"3";"2";"4";"4";"5";"2";"2";"5";"3"
"109";109;"TOT(A)";"EVE(H)";"LEI(A)";"ARS(H)";"STK(A)";"MCI(H)";"CRY(A)";"WAT(H)";"BOU(A)";"MUN(H)";"5";"3";"3";"4";"2";"4";"2";"2";"2";"4"
"110";110;"TOT(A)";"EVE(H)";"LEI(A)";"ARS(H)";"STK(A)";"MCI(H)";"CRY(A)";"WAT(H)";"BOU(A)";"MUN(H)";"5";"3";"3";"4";"2";"4";"2";"2";"2";"4"
"111";111;"TOT(A)";"EVE(H)";"LEI(A)";"ARS(H)";"STK(A)";"MCI(H)";"CRY(A)";"WAT(H)";"BOU(A)";"MUN(H)";"5";"3";"3";"4";"2";"4";"2";"2";"2";"4"
"112";112;"BHA(H)";"SOU(A)";"MCI(H)";"SWA(A)";"WBA(A)";"ARS(H)";"CHE(A)";"STK(H)";"EVE(A)";"WHU(H)";"2";"3";"4";"2";"2";"4";"5";"2";"4";"2"
"113";113;"TOT(A)";"EVE(H)";"LEI(A)";"ARS(H)";"STK(A)";"MCI(H)";"CRY(A)";"WAT(H)";"BOU(A)";"MUN(H)";"5";"3";"3";"4";"2";"4";"2";"2";"2";"4"
"114";114;"TOT(A)";"EVE(H)";"LEI(A)";"ARS(H)";"STK(A)";"MCI(H)";"CRY(A)";"WAT(H)";"BOU(A)";"MUN(H)";"5";"3";"3";"4";"2";"4";"2";"2";"2";"4"
"115";115;"SWA(H)";"BUR(A)";"SOU(H)";"MCI(A)";"MUN(A)";"CHE(H)";"NEW(A)";"WHU(H)";"TOT(A)";"EVE(H)";"2";"3";"2";"4";"4";"5";"2";"2";"5";"3"
