"id";"web_name";"now_cost";"selected_by";"started_by";"benched_by";"captained_by";"vice_captained_by";"triple_captained_by"
435;"Rondón";63;50;19;31;NA;NA;NA
461;"Suttner";45;50;5;45;NA;NA;NA
206;"Ndidi";50;49;10;39;NA;NA;NA
296;"Shelvey";54;49;2;47;NA;NA;NA
459;"Fletcher";45;49;NA;49;NA;NA;NA
47;"Fraser";55;48;13;35;NA;NA;NA
349;"Berahino";60;48;22;26;NA;NA;NA
166;"Smith";50;46;31;15;NA;NA;NA
331;"Cameron";45;46;26;20;NA;NA;NA
52;"Defoe";79;45;18;27;NA;NA;NA
170;"Hudson";40;44;1;43;NA;NA;NA
20;"Coquelin";45;43;2;41;NA;NA;NA
121;"Delaney";44;43;8;35;NA;NA;NA
65;"Sidwell";45;42;1;41;NA;NA;NA
181;"Kachunga";60;42;29;13;NA;NA;NA
335;"Johnson";44;42;9;33;NA;NA;NA
175;"Billing";45;41;9;32;NA;1;NA
249;"Yaya Touré";64;41;26;15;1;1;NA
433;"Field";45;41;9;32;NA;NA;NA
256;"Bernardo Silva";78;40;30;10;NA;1;NA
319;"Clasie";45;40;4;36;NA;NA;NA
438;"Adrián";45;40;NA;40;NA;NA;NA
16;"Özil";95;37;31;6;NA;1;NA
129;"Cabaye";55;37;10;27;NA;NA;NA
87;"Brady";55;36;6;30;NA;NA;NA
39;"Arter";50;35;5;30;NA;NA;NA
203;"Gray";54;35;2;33;NA;NA;NA
218;"Gomez";45;35;21;14;NA;NA;NA
291;"Dummett";44;35;3;32;NA;NA;NA
436;"Robson-Kanu";50;35;NA;35;NA;NA;NA
63;"Stephens";45;34;2;32;NA;NA;NA
70;"Groß";55;34;9;25;NA;NA;NA
429;"Yacob";45;34;2;32;NA;NA;NA
491;"Lokilo";45;34;1;33;NA;NA;NA
15;"Walcott";73;33;18;15;NA;NA;NA
41;"Surman";45;33;1;32;NA;NA;NA
158;"Klaassen";74;33;10;23;NA;NA;NA
348;"Diouf";55;33;8;25;NA;NA;NA
398;"Kaboul";45;33;NA;33;NA;NA;NA
408;"Cleverley";50;33;20;13;NA;NA;NA
443;"Cresswell";50;32;21;11;NA;NA;NA
383;"Wimmer";44;31;6;25;NA;NA;NA
474;"James";45;31;6;25;NA;NA;NA
45;"Ibe";50;30;3;27;NA;NA;NA
365;"Fer";55;30;8;22;NA;NA;NA
453;"Lanzini";69;30;13;17;NA;NA;NA
454;"Antonio";75;30;30;NA;1;NA;NA
358;"Olsson";50;29;16;13;NA;NA;NA
390;"Son";80;29;23;6;1;1;NA
427;"Chadli";59;29;11;18;NA;NA;NA
456;"Fernandes";45;29;2;27;NA;NA;NA
464;"Martina";44;29;5;24;NA;NA;NA
5;"Mertesacker";50;28;13;15;NA;NA;NA
102;"Moses";65;28;25;3;1;NA;NA
449;"Ayew";70;28;14;14;NA;NA;NA
160;"Sandro";74;27;9;18;NA;NA;NA
