"entry";"rank";"gw_points";"points_on_bench";"chip_played";"team_value";"in_bank";"transfers_done";"transfers_cost"
"1431368";"369";"0";"0";"";"1008";"3";"2";"0"
"1433103";"369";"0";"0";"";"1005";"10";"0";"0"
"1498162";"369";"0";"0";"";"1006";"0";"0";"0"
"1555695";"369";"0";"0";"";"1006";"0";"9";"32"
"1901550";"369";"0";"0";"";"1006";"8";"2";"0"
"1908010";"369";"0";"0";"";"1006";"4";"2";"0"
"1940563";"369";"0";"0";"";"1005";"0";"0";"0"
"2192147";"369";"0";"0";"";"1007";"0";"0";"0"
"2215268";"369";"0";"0";"";"1005";"2";"2";"0"
"2268792";"369";"0";"0";"";"1005";"0";"1";"0"
"2271686";"369";"0";"0";"3xc";"1007";"5";"1";"0"
"2295796";"369";"0";"0";"";"1007";"0";"0";"0"
"2301497";"369";"0";"0";"";"1006";"0";"0";"0"
"2347635";"369";"0";"0";"";"1007";"0";"0";"0"
"2382758";"369";"0";"0";"";"1008";"0";"2";"0"
"2386074";"369";"0";"0";"";"1008";"0";"0";"0"
"2429381";"369";"0";"0";"";"1006";"9";"1";"0"
"2435165";"369";"0";"0";"freehit";"1005";"0";"0";"0"
"2549070";"369";"0";"0";"";"1010";"18";"2";"4"
"2649195";"369";"0";"0";"";"1008";"5";"3";"4"
"2661218";"369";"0";"0";"";"1002";"0";"0";"0"
"2685758";"369";"0";"0";"";"1004";"0";"0";"0"
"2740253";"369";"0";"0";"";"1007";"4";"2";"0"
"2858386";"369";"0";"0";"freehit";"1008";"2";"0";"0"
"2970083";"369";"0";"0";"";"1007";"5";"1";"0"
"2979886";"369";"0";"0";"";"1006";"0";"1";"0"
"3138845";"369";"0";"0";"";"1005";"9";"2";"0"
"3605541";"369";"0";"0";"";"1006";"0";"0";"0"
"3646336";"369";"0";"0";"";"1008";"0";"0";"0"
"3785794";"369";"0";"0";"";"1007";"3";"2";"0"
"93726";"410";"0";"0";"";"1008";"8";"1";"0"
"180493";"410";"0";"0";"";"1006";"5";"1";"0"
"411027";"410";"0";"0";"wildcard";"1002";"1";"0";"0"
"414396";"410";"0";"0";"";"1008";"14";"2";"4"
"548526";"410";"0";"0";"";"1007";"10";"0";"0"
"729486";"410";"0";"0";"";"1009";"8";"1";"0"
"792744";"410";"0";"0";"";"1006";"18";"1";"0"
"798679";"410";"0";"0";"";"1008";"0";"1";"0"
"859241";"410";"0";"0";"";"1008";"4";"0";"0"
"873426";"410";"0";"0";"freehit";"1001";"0";"0";"0"
"939875";"410";"0";"0";"";"1008";"0";"1";"0"
"968387";"410";"0";"0";"";"1006";"2";"1";"0"
"1026669";"410";"0";"0";"";"1007";"0";"0";"0"
"1138892";"410";"0";"0";"";"1009";"5";"1";"0"
"1185201";"410";"0";"0";"";"1006";"10";"1";"0"
"1221680";"410";"0";"0";"";"1011";"10";"1";"0"
"1241203";"410";"0";"0";"";"1007";"5";"1";"0"
"1300199";"410";"0";"0";"";"1008";"15";"1";"0"
"1377051";"410";"0";"0";"";"1007";"5";"1";"0"
"1383029";"410";"0";"0";"";"1008";"10";"1";"0"
"1413094";"410";"0";"0";"";"1007";"5";"1";"0"
"1472451";"410";"0";"0";"";"1008";"10";"1";"0"
"1581311";"410";"0";"0";"";"1007";"15";"0";"0"
"1994470";"410";"0";"0";"";"1006";"0";"1";"0"
"2105681";"410";"0";"0";"";"1010";"25";"1";"0"
"2114061";"410";"0";"0";"";"1007";"18";"1";"0"
"2141194";"410";"0";"0";"";"1008";"1";"1";"0"
"2160210";"410";"0";"0";"bboost";"1006";"3";"2";"4"
"2186529";"410";"0";"0";"";"1010";"4";"1";"0"
"2207860";"410";"0";"0";"wildcard";"1010";"4";"0";"0"
"2225797";"410";"0";"0";"";"1006";"0";"1";"0"
"2230407";"410";"0";"0";"";"1005";"5";"2";"4"
"2283808";"410";"0";"0";"";"1007";"12";"1";"0"
"2383389";"410";"0";"0";"";"1008";"4";"2";"4"
"2632094";"410";"0";"0";"";"1006";"8";"1";"0"
"2770772";"410";"0";"0";"";"1009";"0";"2";"4"
"3339381";"410";"0";"0";"";"1008";"3";"2";"4"
"3578327";"410";"0";"0";"";"1009";"0";"1";"0"
"3601880";"410";"0";"0";"";"1004";"14";"1";"0"
"3694954";"410";"0";"0";"";"1008";"0";"0";"0"
"3719948";"410";"0";"0";"";"1007";"15";"0";"0"
"3785662";"410";"0";"0";"";"1005";"0";"0";"0"
"206062";"452";"0";"0";"";"1007";"5";"1";"0"
"3014697";"452";"0";"0";"";"1007";"9";"2";"4"
"1207419";"454";"0";"0";"";"1009";"4";"3";"8"
